user_pseudo_id,days_of_browsing,t_clickcategory,t_viewcourse,t_search,t_sortfilter,t_viewteacher,t_clickbuy,t_clickproceed
ad7efdad-23ed-4bf2-be60-a03a6939a27d,2,1,2,1,,,1,
1489910738.1634729181,77,6,555,2,,4,1,1
1540904685.1644651445,5,,19,,,,1,
1593554611.1649933968,5,1,23,,,,1,
2023355102.1646189716,6,5,25,,,,1,2
2047525794.1641624351,2,,4,,,,3,
2109614361.1645578362,54,51,1356,62,,,2,
227846381.1645718294,2,,4,,,,1,
5adeef4f1ee76e18250003cf,9,1,25,9,,1,1,
5c19fb980e1266529300065b,5,6,12,1,1,1,1,
1847183503.1645597066,10,1,46,,,,1,1
1903371909.1641781987,14,,56,3,,,1,1
570779729f7bfc6f82004171,9,2,9,3,,,1,1
b511e738-e1b9-4206-977d-5fc9837aff98,86,47,414,6,2,,1,
326135902.1575174879,91,62,341,12,8,1,1,
569858a29a31145664003a14,9,,75,3,,1,1,
5d2847b2cb5acb32d144e910,7,19,43,,2,6,1,
62352fd193e89e0028cfb1f6,8,7,31,13,,1,2,1
a20d5ed3-d5cf-4933-8d6d-c6f6ca465904,2,2,5,,6,,2,2
441901298.1642326464,1,,1,,,,1,
583878250.1632125018,14,2,88,11,,3,1,
668015422.1639624170,7,3,44,,,,3,2
1592966174.1626856247,72,32,653,29,,,7,8
5c8b54701ee76e3ee00009c4,26,1,50,2,,,1,
ce9592bb-ccbd-46d6-ad1e-06949186799f,26,9,214,,,2,4,
1987784193.1652711659,6,,11,,,,1,
5e7971bacb5acb2c03f6c819,2,1,2,,,,1,
1412905934.1642235762,6,20,151,1,,,3,3
1811324206.1642021083,10,1,67,3,,,1,
5f3c9e28cb5acb59bba6026a,6,3,20,,,1,1,2
741000787.1649650564,1,,6,2,,,2,
1719055569.1646559258,4,6,7,,,,5,
1006496135.1650401677,2,2,5,,,,1,
1228816668.1637663160,24,14,207,2,4,9,1,
1404810410.1637229536,4,1,21,,,,1,
1459694604.1626166369,3,,8,1,,,1,1
5d2e93e597b27806cde6aca1,1,1,2,,4,,1,
708402680.1646182389,6,1,35,14,,,1,1
1511780366.1640174234,30,,84,9,,1,1,
2001210658.1618801674,1,,6,1,,,1,1
69954455.1646968785,5,8,12,,,,1,
979368946.1638680293,37,92,251,22,4,,2,
5e805753cb5acb2c03f74c8f,3,1,11,1,1,,1,1
673896357.1647447135,13,9,57,1,,1,1,
1851206716.1645118300,6,,59,23,,1,1,
2115079026.1642649794,5,2,104,,,,3,1
4cd95575-01d2-42bf-a3fd-6086e91084e2,1,3,4,,,,1,
5bffa049b78031003067bac3,3,5,12,,,,1,
676253841.1641995635,33,25,218,13,,,3,3
57721d3fe7e9dd581c000875,6,6,19,2,,,1,
5ad8bc261ee76e35ef000360,1,3,2,,1,,1,
1173248635.1650874466,1,,8,,,,1,1
1591876180.1641718279,2,6,34,,,,1,
1990684844.1647775787,59,34,858,6,2,,1,3
5f5b2653-6dd0-4873-81c9-93505a47dbc4,1,1,2,,1,,1,
909462957.1638283342,28,3,221,2,,13,1,1
915014629.1639055233,20,1,95,,,4,3,3
bd838838-10e5-4c88-b520-9f385e57709f,1,4,3,,,,1,1
139692165.1646540072,3,1,23,,,,1,
143137644.1647100940,14,3,56,1,,,2,2
1706833673.1652343465,1,2,10,,1,,2,1
5c7de1564f27e84e9800009d,2,7,103,,1,,1,1
5d2c2255bfb7b0005c66e37c,13,,19,2,,,2,1
105122970.1642519047,4,4,93,4,2,,2,1
1303514715.1641717510,4,,68,,,,1,
1993712058.1643521805,4,22,78,,2,,1,1
314254667.1610005824,13,33,94,,2,1,1,
5abf37064f27e85f130003d6,2,1,9,3,,,1,2
966688493.1631635852,18,17,312,2,1,1,1,1
34735116-6b29-446d-a047-a9cbf9b05224,20,32,59,4,,3,5,7
5fa0ec975962b461ec5f85af,4,4,5,,,,1,3
2009203677.1645698650,4,16,49,3,,,1,
2048132726.1642130442,16,2,97,1,,,1,2
5ee777d85962b434cb276c84,4,3,10,,5,,1,
61c541e94b6eef000ec73f38,3,,16,1,,,2,1
1934738813.1651337162,12,18,37,1,,1,1,
723158946.1642640567,1,,16,,,,2,3
db40eaf0-7413-4ada-be00-5c72c6102629,40,111,198,,2,,8,7
1198882703.1645089853,2,,14,,,,1,
1365649158.1649768054,3,22,29,,,1,1,
624998757.1648087704,1,2,3,,,,1,
1134524979.1648088120,4,4,8,,,,2,
1514353490.1644007294,18,72,2876,6,,1,2,
2de3d177-2942-4636-8cdc-c91e261323f7,1,3,10,1,7,,1,3
454864779.1646035634,11,,35,3,,2,2,1
87549760.1645936612,36,160,334,11,7,1,4,1
1929678113.1614647797,40,8,366,1,2,,1,
1994242691.1641715069,1,,11,1,,,1,1
45008663.1644934278,4,3,70,3,,,1,1
474392136.1644902685,37,6,439,5,,,1,
627614689.1637977356,45,22,636,36,,,3,5
1310146261.1645087022,50,4,386,6,,,2,1
1310436846.1648181361,44,8,225,3,,,2,
1324400042.1629119132,10,10,28,1,2,,1,
152195658.1625393440,33,1,418,,,,1,
5908a64fe7e9dd57290009be,24,22,72,9,,,1,
5b65ffff-b583-43a8-b81f-371d9949f869,1,12,13,2,,1,1,
118047166.1642045383,24,13,266,13,,1,2,5
122511477.1650938230,8,,27,5,,4,2,2
1397799167.1642317397,8,,93,4,,,4,1
1517674387.1641894444,14,3,172,9,,,3,2
785218715.1637251679,64,9,423,3,1,,1,
1073500081.1644933564,1,,17,,,,1,
197542205.1650990862,6,6,30,2,,,1,2
644615065.1643815683,8,31,75,,1,4,2,
803664551.1642335391,3,2,6,,,,2,
1455101175.1641003070,1,,,,,,1,
196697365.1567501142,11,23,137,,,,1,
435346941.1636559039,7,13,116,,,,1,
595876199.1640829058,2,,3,,,,2,
819867923.1644323022,1,1,28,1,2,,1,1
971286054.1646740567,1,,3,,,,1,
1844811203.1654063397,1,1,2,,,,1,
575a8ef69a31142831009462,36,39,95,1,2,,3,4
5a0812630e12662c6a001de1,2,1,49,,3,,2,
5bd930f84f27e81fb60029dc,5,3,8,1,,,1,1
5d84990fcb5acb69b7733eac,1,,2,,,,1,1
878d86aa-4db2-4dd2-9337-0b8b10749ec6,8,,43,,,,1,
523616200.1630995757,21,2,250,2,,,1,
fb2796de-3818-497d-bd55-5b02121a1978,1,2,44,,,,3,2
1001295759.1640861659,7,10,89,1,,,1,1
1483829344.1641790930,4,,23,,,,1,1
5c642f789f7bfc1f2200062b,3,,2,,,,1,1
1024994418.1649653056,6,19,29,2,,,1,
1094356969.1628418068,6,3,78,5,,,4,1
1365715408.1641960027,5,,47,,,,1,1
1819958290.1646178051,1,1,2,,3,,4,
a30fc281-06ed-4ab1-932c-d9d0dac61b99,14,1,64,3,,,1,
1482518078.1652342614,2,,6,1,,,1,1
3fdfc83f-b931-400e-b9b9-3ad9edf14cab,5,22,59,3,14,1,1,
5d1ece635962b477df06ec70,1,,8,,,,1,1
820967250.1650122509,5,2,34,1,,,1,1
987811823.1639153726,6,19,72,,5,,1,
10000352.1648653004,2,5,22,1,1,,1,
1563273925.1640929639,2,5,9,2,1,3,1,
1753545828.1634391345,55,1,436,8,,,2,2
5a38b3250e1266064a000eb2,5,1,10,,,,1,1
1259248120.1643421132,36,8,252,,1,,1,1
1448200830.1641248493,1,,,,,,1,
386957752.1639910212,14,,49,5,,,1,
59df2eeb1ee76e31aa00023d,20,1,53,4,,,4,1
5bead8864f27e8597d000027,1,,1,2,,,1,
683454510.1641882046,1,,3,,,,1,
1195469607.1646994617,1,,3,,,1,1,
1347951616.1643614721,33,,152,4,,,1,
2104992338.1645095001,7,12,17,,4,,3,
452247088.1641544642,4,8,89,,2,,1,
581941fce7e9dd51a8000184,31,7,55,7,1,,7,1
5cef5b925962b43a40ad57ab,1,20,9,2,,,1,2
f149e270-c207-40d5-98eb-c86f1ce3a1b3,1,,16,,,,3,
0dc612f6-89f1-4ccf-be62-76dfccf25993,5,4,59,,,,1,1
1253174967.1645091796,16,4,63,,,2,1,
1397979715.1642082536,5,,11,,,,1,
399396995.1646103466,26,5,79,,,,3,3
530370840.1646448269,4,2,36,,,,2,1
531301200.1637246016,15,25,165,6,,,4,4
1055913389.1652277839,7,1,56,,,,1,1
666679088.1641959640,12,2,71,3,,1,2,4
752587489.1635733991,63,6,2400,56,,,3,
1058680458.1644724806,2,7,22,,,,1,
114804438.1646654354,6,,32,,,,1,
121887895.1641912173,12,13,34,,,,1,1
2009944302.1643029655,5,,62,4,,,1,1
5f3d3165cb5acb59bba6086a,9,10,57,1,5,3,1,1
299279868.1642049762,1,,3,,,,1,
882008067.1653413075,1,,9,,,,1,
885691665.1649169961,1,,8,1,,,1,
1084941855.1640660695,4,3,14,,,,1,
1481824544.1597050114,29,4,160,,,,1,
8979e374-d63d-4411-ac35-474ee96dd1c7,6,26,33,6,1,1,4,4
995785021.1641834869,34,6,575,8,,,1,
1109541117.1638872411,103,349,1709,74,5,4,12,
721028978.1644629891,31,40,635,45,1,1,2,
9e64b409-e0e8-41f0-8672-708e9e257f4c,23,12,100,13,1,4,6,6
1335260942.1643264288,3,,29,,,,2,2
1714066567.1649931452,6,7,21,,3,,1,
55911949.1648478346,31,,123,14,,3,1,2
573fc5829a311410730040bc,2,,12,1,,,1,
616507294.1645101174,22,6,140,,,,1,1
1371783371.1650178552,1,2,15,,,1,1,
1521306954.1648966243,9,2,31,1,,1,1,
637597389.1645004209,1,,9,,,,1,
1000486265.1647075337,1,,3,,,,13,
1155889480.1604567992,69,247,1516,96,13,3,15,8
1509923976.1636294748,1,1,2,,,,1,
2042384361.1646723158,28,89,166,11,6,,4,5
245270159.1646656228,2,3,4,,,,1,
66337102.1645069128,6,18,122,,1,,1,1
b4409370-a91a-4a3c-a0f7-d79a1ad4c425,2,6,10,,1,,1,3
07c356ab-e1fb-4976-994d-3e6bc0491188,2,17,11,1,,,1,1
2128944227.1640947719,9,3,50,4,,,1,1
5806e59b9a31147226000119,4,2,23,,2,,2,
1556553170.1648169761,1,1,2,,,,1,
201802322.1646237746,1,,1,,,,1,
59c8c79a0e12664900004fbd,1,,4,,,,2,
1113133434.1643965582,1,4,90,1,5,,1,4
582c18a9e7e9dd570800001e,3,1,11,3,,,1,1
1380682620.1650120859,5,2,50,5,,1,2,2
369489890.1638867364,21,12,147,17,,1,4,
5a0e71c10e126613eb0001c0,34,,153,13,,,1,
818041006.1647789573,8,4,57,,,,1,
93339965.1652490869,8,3,89,1,,,1,1
1192460590.1636942248,25,2,216,6,,,2,
1987806557.1644398298,6,,167,5,,,2,5
26676832.1643173243,16,,154,,,,3,
369412177.1644465309,1,,14,,,,1,
39222.1638275145,5,,50,1,,,2,1
471052288.1638428722,28,20,153,14,,3,2,
5e9f020d5962b4344e40441d,9,1,70,3,1,,1,
1042308069.1650348898,5,2,15,2,1,,1,
1598047059.1645755835,1,2,9,,,,1,
1384128936.1649579383,15,6,39,6,,2,2,
1514816015.1645881799,6,3,80,5,,3,1,1
1863299920.1606710106,9,21,210,,,,3,8
1904927744.1627483009,7,1,73,5,,,2,1
9a0b0a09-a846-4d92-939a-b319b3c39f9c,7,1,37,,,,1,
